,year,week,cluster_sn,no_cases,latitude,longitude,point,pln_area_n,region_n,pln_total_cases,reg_total_cases,total_cases,total_daily_rainfall,highest_30min_rainfall,highest_60min_rainfall,highest_120min_rainfall,max_wind_sp,max_temp,rainy_day,mean_temp,mean_wind_sp,min_temp,humidity,hdb_1_and_2_room_flats_hse,hdb_3_room_flats_hse,hdb_4_room_flats_hse,hdb_5_room_and_executive_flats_hse,condominiums_and_other_apartments_hse,landed_properties_hse,others_hse,total_hdb_hse,hdb_1_and_2_room_flats_pop,hdb_3_room_flats_pop,hdb_4_room_flats_pop,hdb_5_room_and_executive_flats_pop,condominiums_and_other_apartments_pop,landed_properties_pop,others_pop,total_hdb_pop,total_pop,dengue_fever,dengue,mosquito,insect_repellent,dengue_fever_diff,dengue_fever_2nd_diff,dengue_diff,dengue_2nd_diff,mosquito_diff,mosquito_2nd_diff,insect_repellent_diff,insect_repellent_2nd_diff,date
34,2013,21,35.0,3.0,1.3267202,103.91252495,POINT (103.91252495 1.3267202),BEDOK,EAST REGION,80.0,297.0,596.0,4.316666666666667,,,,45.7,34.2,1,28.3,5.958333333333333,23.9,76.88568941504178,4093.2,22596.8,21269.2,13761.2,17639.2,12086.0,424.4,61720.4,9480.0,64024.0,73914.0,49842.0,45978.0,45464.0,2960.0,197260.0,291658.0,33.0,30.0,10.0,2.0,,,,,,,,,2013-05-26
42,2013,22,1.0,122.0,1.353651302,103.93529843,POINT (103.93529843 1.353651302),TAMPINES,EAST REGION,188.0,292.0,612.0,5.980952380952381,,,,63.0,33.8,1,27.74285714285714,6.909523809523809,22.6,76.88568941504178,1670.4,13328.4,29317.6,23402.8,8078.8,1266.4,192.0,67779.2,3300.0,35722.0,105128.0,89360.0,22016.0,4654.0,1264.0,233510.0,261434.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
44,2013,22,3.0,57.0,1.3573505541666666,103.94658142083334,POINT (103.94658142083334 1.3573505541666666),TAMPINES,EAST REGION,188.0,292.0,612.0,5.980952380952381,,,,63.0,33.8,1,27.74285714285714,6.909523809523809,22.6,76.88568941504178,1670.4,13328.4,29317.6,23402.8,8078.8,1266.4,192.0,67779.2,3300.0,35722.0,105128.0,89360.0,22016.0,4654.0,1264.0,233510.0,261434.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
46,2013,22,5.0,31.0,1.328006625,103.9145873,POINT (103.9145873 1.328006625),BEDOK,EAST REGION,80.0,292.0,612.0,5.980952380952381,,,,63.0,33.8,1,27.74285714285714,6.909523809523809,22.6,76.88568941504178,4093.2,22596.8,21269.2,13761.2,17639.2,12086.0,424.4,61720.4,9480.0,64024.0,73914.0,49842.0,45978.0,45464.0,2960.0,197260.0,291658.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
47,2013,22,6.0,28.0,1.3190434333333334,103.90794935,POINT (103.90794935000001 1.3190434333333334),BEDOK,EAST REGION,80.0,292.0,612.0,5.980952380952381,,,,63.0,33.8,1,27.74285714285714,6.909523809523809,22.6,76.88568941504178,4093.2,22596.8,21269.2,13761.2,17639.2,12086.0,424.4,61720.4,9480.0,64024.0,73914.0,49842.0,45978.0,45464.0,2960.0,197260.0,291658.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
49,2013,22,8.0,19.0,1.3689810666666666,103.95024106666666,POINT (103.95024106666666 1.3689810666666666),PASIR RIS,EAST REGION,19.0,292.0,612.0,5.980952380952381,,,,63.0,33.8,1,27.74285714285714,6.909523809523809,22.6,76.88568941504178,430.0,60.0,11930.4,17889.6,6673.6,1739.6,60.0,30310.0,736.0,312.0,41592.0,66314.0,20384.0,7412.0,728.0,108958.0,137478.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
50,2013,22,9.0,13.0,1.3301142625,103.911528925,POINT (103.911528925 1.3301142625),BEDOK,EAST REGION,80.0,292.0,612.0,5.980952380952381,,,,63.0,33.8,1,27.74285714285714,6.909523809523809,22.6,76.88568941504178,4093.2,22596.8,21269.2,13761.2,17639.2,12086.0,424.4,61720.4,9480.0,64024.0,73914.0,49842.0,45978.0,45464.0,2960.0,197260.0,291658.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
66,2013,22,25.0,5.0,1.3241876,103.9240512,POINT (103.92405120000001 1.3241876000000001),BEDOK,EAST REGION,80.0,292.0,612.0,5.980952380952381,,,,63.0,33.8,1,27.74285714285714,6.909523809523809,22.6,76.88568941504178,4093.2,22596.8,21269.2,13761.2,17639.2,12086.0,424.4,61720.4,9480.0,64024.0,73914.0,49842.0,45978.0,45464.0,2960.0,197260.0,291658.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
67,2013,22,26.0,5.0,1.3668923,103.9285073,POINT (103.9285073 1.3668923),PAYA LEBAR,EAST REGION,5.0,292.0,612.0,5.980952380952381,,,,63.0,33.8,1,27.74285714285714,6.909523809523809,22.6,76.88568941504178,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
68,2013,22,27.0,5.0,1.344885,103.9464355,POINT (103.9464355 1.344885),TAMPINES,EAST REGION,188.0,292.0,612.0,5.980952380952381,,,,63.0,33.8,1,27.74285714285714,6.909523809523809,22.6,76.88568941504178,1670.4,13328.4,29317.6,23402.8,8078.8,1266.4,192.0,67779.2,3300.0,35722.0,105128.0,89360.0,22016.0,4654.0,1264.0,233510.0,261434.0,29.0,28.0,9.0,3.0,-4.0,,-2.0,,-1.0,,1.0,,2013-06-02
